name;description;type;value
Katze-Kuh;Vierfüßler, Rücken runden und durchhängen lassen, mit dem Atem;time;1:00
Brustwirbel-Rotation;Vierfüßler, Hand an den Kopf, Ellbogen zur Decke drehen;reps;10
Tiefe Hocke;Fersen am Boden, Oberkörper aufrecht, leicht links/rechts wiegen;time;1:00
Hüftrotation im Sitzen;Hände hinten abstützen, Knie abwechselnd zum Boden kippen;time;1:00
Kinn zurückziehen;Doppelkinn machen, Nacken lang, 5 Sek halten, nicht nicken;reps;10
Tischrudern;Unter stabilem Tisch, Fersen am Boden, Brust zur Kante ziehen;reps;12
Liegestütze mit Plus;Brust zum Boden, oben Schultern aktiv nach vorn schieben;reps;12
Hip Raise;Rückenlage, Hüfte hoch drücken, oben 2 Sek halten;reps;15
Tischrudern Satz 2;Jetzt ausgeruht, Körper gerade, oben kurz halten;reps;12
Liegestütze Satz 2;Zweiter Satz, unten kurz halten statt federn;reps;12
Bird Dog;Vierfüßler, gegenüberliegenden Arm und Bein lang strecken;reps;10
Pike Liegestütze;Hüfte hoch, Kopf Richtung Boden, senkrecht nach oben drücken;reps;10
T-Heben Bauchlage;Arme seitlich im T, Daumen hoch, Brust und Arme vom Boden lösen;reps;15
Y-Heben Bauchlage;Arme im Y, Daumen hoch, Brust und Arme vom Boden lösen;reps;12
Wall Angel;Rücken an der Wand, Arme wie Schneeengel hoch und runter;reps;12
Side Plank rechts;Unterarm unter der Schulter, Hüfte hoch, Körper gerade;time;1:00
Side Plank links;Seite wechseln, gleiche Position;time;1:00
Brustdehnung Türrahmen;Unterarme am Rahmen, Ellbogen schulterhoch, Brust nach vorn;time;1:00
Hamstring-Dehnung;Knie zusammen und durchgestreckt, Zehen anziehen, nach vorn;time;1:00
Taubensitz rechts;Schienbein quer vor dem Körper, hinteres Bein lang, Brust vor;time;1:00
Taubensitz links;Seite wechseln, gleiche Position;time;1:00
Couch Stretch rechts;Knie an die Wand, langsam aufrichten, Schultern zur Wand;time;1:00
Couch Stretch links;Seite wechseln, gleiche Position;time;1:00
